
2024/12/30 (14:44:09) | ERROR: Hex value missing: #
2024/12/30 (14:44:09) | ERROR: Hex value missing: #
2024/12/30 (14:44:09) | ERROR: Hex value missing: #

2024/12/30 (14:46:30) | ===> btop++ v.1.4.0
2024/12/30 (14:46:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (15:14:12) | ===> btop++ v.1.4.0
2024/12/30 (15:14:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (22:50:00) | ===> btop++ v.1.4.0
2025/01/06 (22:50:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (23:12:47) | ===> btop++ v.1.4.0
2025/01/06 (23:12:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (00:17:15) | ===> btop++ v.1.4.0
2025/01/07 (00:17:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (00:23:28) | ===> btop++ v.1.4.0
2025/01/07 (00:23:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (00:34:31) | ===> btop++ v.1.4.0
2025/01/07 (00:34:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (01:16:05) | ===> btop++ v.1.4.0
2025/01/07 (01:16:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (20:38:42) | ===> btop++ v.1.4.0
2025/01/07 (20:38:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (20:41:29) | ===> btop++ v.1.4.0
2025/01/07 (20:41:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (21:57:42) | ===> btop++ v.1.4.0
2025/01/07 (21:57:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (13:50:57) | ===> btop++ v.1.4.0
2025/01/08 (13:50:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (13:58:07) | ===> btop++ v.1.4.0
2025/01/08 (13:58:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (01:02:22) | ===> btop++ v.1.4.0
2025/01/09 (01:02:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (23:09:16) | ===> btop++ v.1.4.0
2025/01/09 (23:09:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (21:28:43) | ===> btop++ v.1.4.0
2025/01/10 (21:28:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (11:50:17) | ===> btop++ v.1.4.0
2025/01/11 (11:50:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (16:20:06) | ===> btop++ v.1.4.0
2025/01/11 (16:20:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (23:38:02) | ===> btop++ v.1.4.0
2025/01/11 (23:38:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (23:41:39) | ===> btop++ v.1.4.0
2025/01/11 (23:41:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (01:26:08) | ===> btop++ v.1.4.0
2025/01/12 (01:26:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (01:28:42) | ===> btop++ v.1.4.0
2025/01/12 (01:28:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (01:29:24) | ===> btop++ v.1.4.0
2025/01/12 (01:29:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (01:29:43) | ===> btop++ v.1.4.0
2025/01/12 (01:29:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (16:02:04) | ===> btop++ v.1.4.0
2025/01/12 (16:02:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (16:03:19) | ===> btop++ v.1.4.0
2025/01/12 (16:03:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (16:05:58) | ===> btop++ v.1.4.0
2025/01/12 (16:05:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (19:01:53) | ===> btop++ v.1.4.0
2025/01/12 (19:01:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (20:22:27) | ===> btop++ v.1.4.0
2025/01/12 (20:22:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (20:33:30) | ===> btop++ v.1.4.0
2025/01/12 (20:33:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (22:10:12) | ===> btop++ v.1.4.0
2025/01/12 (22:10:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (22:35:47) | ===> btop++ v.1.4.0
2025/01/12 (22:35:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (22:36:19) | ===> btop++ v.1.4.0
2025/01/12 (22:36:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (22:36:51) | ===> btop++ v.1.4.0
2025/01/12 (22:36:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (22:50:47) | ===> btop++ v.1.4.0
2025/01/12 (22:50:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (22:53:53) | ===> btop++ v.1.4.0
2025/01/12 (22:53:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (22:53:55) | ===> btop++ v.1.4.0
2025/01/12 (22:53:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (22:53:56) | ===> btop++ v.1.4.0
2025/01/12 (22:53:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (23:04:22) | ===> btop++ v.1.4.0
2025/01/12 (23:04:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (23:04:47) | ===> btop++ v.1.4.0
2025/01/12 (23:04:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (23:10:17) | ===> btop++ v.1.4.0
2025/01/12 (23:10:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (23:11:18) | ===> btop++ v.1.4.0
2025/01/12 (23:11:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (23:12:58) | ===> btop++ v.1.4.0
2025/01/12 (23:12:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (23:28:18) | ===> btop++ v.1.4.0
2025/01/12 (23:28:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (23:30:15) | ===> btop++ v.1.4.0
2025/01/12 (23:30:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (23:44:25) | ===> btop++ v.1.4.0
2025/01/12 (23:44:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (23:45:30) | ===> btop++ v.1.4.0
2025/01/12 (23:45:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (23:45:49) | ===> btop++ v.1.4.0
2025/01/12 (23:45:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (01:10:24) | ===> btop++ v.1.4.0
2025/01/13 (01:10:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/14 (21:51:51) | ===> btop++ v.1.4.0
2025/01/14 (21:51:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/14 (23:29:26) | ===> btop++ v.1.4.0
2025/01/14 (23:29:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (14:05:58) | ===> btop++ v.1.4.0
2025/01/15 (14:05:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (16:22:43) | ===> btop++ v.1.4.0
2025/01/15 (16:22:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (17:27:08) | ===> btop++ v.1.4.0
2025/01/15 (17:27:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (03:23:01) | ===> btop++ v.1.4.0
2025/01/16 (03:23:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (13:31:09) | ===> btop++ v.1.4.0
2025/01/16 (13:31:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (14:22:47) | ===> btop++ v.1.4.0
2025/01/17 (14:22:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (14:30:42) | ===> btop++ v.1.4.0
2025/01/17 (14:30:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (14:33:13) | ===> btop++ v.1.4.0
2025/01/17 (14:33:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (14:37:49) | ===> btop++ v.1.4.0
2025/01/17 (14:37:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (17:57:09) | ===> btop++ v.1.4.0
2025/01/17 (17:57:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (19:40:32) | ===> btop++ v.1.4.0
2025/01/18 (19:40:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (16:39:12) | ===> btop++ v.1.4.0
2025/01/19 (16:39:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (16:39:44) | ===> btop++ v.1.4.0
2025/01/19 (16:39:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (16:46:16) | ===> btop++ v.1.4.0
2025/01/19 (16:46:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (17:01:02) | ===> btop++ v.1.4.0
2025/01/19 (17:01:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (16:20:17) | ===> btop++ v.1.4.0
2025/01/20 (16:20:17) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/20 (16:21:09) | ERROR: Exception during Config::unlock() : unordered_map::at

2025/01/20 (16:21:11) | ===> btop++ v.1.4.0
2025/01/20 (16:21:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (16:21:35) | ===> btop++ v.1.4.0
2025/01/20 (16:21:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/21 (13:35:54) | ===> btop++ v.1.4.0
2025/01/21 (13:35:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/21 (13:36:19) | ===> btop++ v.1.4.0
2025/01/21 (13:36:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/21 (18:03:46) | ===> btop++ v.1.4.0
2025/01/21 (18:03:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (11:51:33) | ===> btop++ v.1.4.0
2025/01/23 (11:51:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (16:49:37) | ===> btop++ v.1.4.0
2025/01/24 (16:49:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (21:44:36) | ===> btop++ v.1.4.0
2025/01/24 (21:44:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/25 (10:45:32) | ===> btop++ v.1.4.0
2025/01/25 (10:45:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/25 (22:14:43) | ===> btop++ v.1.4.0
2025/01/25 (22:14:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (20:45:08) | ===> btop++ v.1.4.0
2025/01/27 (20:45:08) | WARNING: Intel GPU: Failed to initialize PMU
